district,year,planted_ha,harvested_ha,production_mt,yield(mt/ha),yield,yield_h,zyield,flag
chavuma,2019,1959,1194,2522,1.29,1.2873915262889228,2.1122278056951425,-1.870878118047015,0
chavuma,2020,2209,1935,5398,2.44,2.4436396559529197,2.7896640826873385,0.24911598708728094,0
chavuma,2021,1883,1771,6323,3.36,3.3579394583112054,3.57029926595144,1.925495080464311,0
chavuma,2022,1834,1597,4802,2.62,2.618320610687023,3.0068879148403256,0.5693955056566599,0
chibombo,2011,69254,52256,148888,2.15,2.1498830392468307,2.849203919167177,0.5449870185356306,0
chibombo,2012,57508,47214,133562,2.32,2.322494261667942,2.828864319905113,0.9529235333470979,0
chibombo,2013,75405,52995,143426,1.9,1.9020754591870566,2.7064062647419567,-0.040662970703331885,0
chibombo,2014,81502,71286,209535,2.57,2.57091850506736,2.9393569564851445,1.5400308988218463,0
chibombo,2015,81528,50823,127329,1.56,1.5617824551074477,2.5053420695354465,-0.8448861269491795,0
chibombo,2016,71007,58741,173366,2.44,2.4415339332741843,2.951362761955023,1.2342530325431649,0
chibombo,2017,94121,75930,182747,1.94,1.941617704869264,2.4067825628868693,0.052788229428170276,0
chibombo,2018,77295,55641,144181,1.87,1.8653341095801799,2.5912726227062777,-0.12749474153415957,0
chibombo,2019,77778,41986,74836,0.96,0.9621743937874463,1.7824036583623113,-2.26195518744745,1
chibombo,2020,83036,66296,140635,1.69,1.6936629895467026,2.1213195366236275,-0.5332094883388997,0
chibombo,2021,95574,77500,195700,2.05,2.0476280159876117,2.525161290322581,0.3033251078832352,0
chibombo,2022,71938,49404,113106,1.57,1.5722705663209986,2.2894097643915474,-0.8200993055861224,0
chiengi,2011,6667,6620,16552,2.48,2.4826758662066895,2.5003021148036253,0.8130236012983572,0
chiengi,2012,5773,5467,16717,2.9,2.8957214619781744,3.0578013535760014,2.076010510654483,1
chiengi,2013,4995,4209,10720,2.15,2.146146146146146,2.5469232596816345,-0.2159974932175486,0
chiengi,2014,5728,4697,11820,2.06,2.0635474860335195,2.516499893549074,-0.4685628940366837,0
chiengi,2015,7281,4265,13706,1.88,1.8824337316302706,3.213599062133646,-1.02236204661788,0
chiengi,2016,9325,8780,24668,2.65,2.6453619302949063,2.8095671981776764,1.3104756293106954,0
chiengi,2017,7035,5142,12916,1.84,1.8359630419331912,2.5118630882924933,-1.1644574311396239,0
chiengi,2018,6209,5398,11553,1.86,1.8606861008213884,2.1402371248610597,-1.0888606930199207,0
chiengi,2019,6275,5912,12787,2.04,2.0377689243027888,2.162889039242219,-0.5473870876396442,0
chiengi,2020,9088,7778,22854,2.51,2.514744718309859,2.938287477500643,0.9110818806239854,0
chiengi,2021,8122,7571,16483,2.03,2.029426249692194,2.1771232333905695,-0.5728968350623677,0
chiengi,2022,6156,5039,13586,2.21,2.2069525666016894,2.6961698749751934,-0.03006714115384209,0
chililabombwe,2011,3255,2882,6804,2.09,2.0903225806451613,2.3608605135322693,-0.9658275127696933,0
chililabombwe,2012,1609,1321,3716,2.31,2.3095090118085766,2.8130204390613174,-0.5372146926221052,0
chililabombwe,2013,1408,1323,2799,1.99,1.9879261363636365,2.1156462585034013,-1.166060841647011,0
chililabombwe,2014,1354,1165,3311,2.45,2.445347119645495,2.84206008583691,-0.2715871436243933,0
chililabombwe,2015,1591,1357,3921,2.46,2.464487743557511,2.8894620486366986,-0.23415819900054813,0
chililabombwe,2016,1009,998,2676,2.65,2.6521308225966305,2.6813627254509016,0.13277249493538987,0
chililabombwe,2017,1364,1127,2790,2.05,2.0454545454545454,2.4755989352262646,-1.0535656770139632,0
chililabombwe,2018,1218,1173,3145,2.58,2.5821018062397374,2.681159420289855,-0.0041672509857956725,0
chililabombwe,2019,763,713,2034,2.67,2.6657929226736568,2.85273492286115,0.15948834231732492,0
chililabombwe,2020,1045,875,2875,2.75,2.751196172248804,3.2857142857142856,0.3264919631887335,0
chililabombwe,2021,2010,1957,7942,3.95,3.9512437810945276,4.058252427184466,2.6731508654236777,2
chililabombwe,2022,1011,967,3099,3.07,3.065281899109792,3.2047569803516027,0.9406776517983807,0
chilubi,2011,1201,1010,2973,2.48,2.475437135720233,2.9435643564356435,-0.2662096210506195,0
chilubi,2012,1255,1152,3282,2.61,2.615139442231076,2.8489583333333335,0.10253249820395546,0
chilubi,2013,620,577,1353,2.18,2.182258064516129,2.344887348353553,-1.0400513330233478,0
chilubi,2014,681,650,1945,2.86,2.8560939794419973,2.9923076923076923,0.7385283447597502,0
chilubi,2015,1225,1183,3565,2.91,2.910204081632653,3.0135249366018595,0.8813511388366352,0
chilubi,2016,1325,1232,2969,2.24,2.240754716981132,2.4099025974025974,-0.8856503060254898,0
chilubi,2017,1150,1118,3749,3.26,3.26,3.353309481216458,1.8046321602231,0
chilubi,2018,270,255,695,2.58,2.574074074074074,2.7254901960784315,-0.0058589182327299675,0
chilubi,2019,1585,1552,4893,3.09,3.087066246056782,3.1527061855670104,1.348176139472132,0
chilubi,2020,1030,887,2121,2.06,2.059223300970874,2.391206313416009,-1.364799725406846,0
chilubi,2021,2151,2025,5563,2.59,2.586238958623896,2.7471604938271605,0.02625011003904374,0
chilubi,2022,1970,1686,4076,2.07,2.0690355329949237,2.417556346381969,-1.3389004877955832,0
chingola,2011,7117,6484,15910,2.24,2.2354924827876914,2.4537322640345467,-0.9541243322017222,0
chingola,2012,3923,3269,10393,2.65,2.649248024471068,3.179259712450291,-0.44165474065696797,0
chingola,2013,4897,4780,18603,3.8,3.798856442720033,3.8918410041841005,0.9822279562116407,0
chingola,2014,4230,3954,12772,3.02,3.0193853427895982,3.2301466868993423,0.016790165150051786,0
chingola,2015,4069,3283,9397,2.31,2.309412632096338,2.862321047822114,-0.8625682685197568,0
chingola,2016,3382,3350,10363,3.06,3.0641632170313424,3.0934328358208956,0.0722511719792226,0
chingola,2017,4135,3406,10599,2.56,2.5632406287787184,3.1118614210217266,-0.5481818333478868,0
chingola,2018,2423,2389,5837,2.41,2.4089971110193975,2.443281707827543,-0.7392248637879092,0
chingola,2019,3241,2821,8163,2.52,2.5186670780623266,2.8936547323644097,-0.6033897690202236,0
chingola,2020,3651,3282,10814,2.96,2.9619282388386745,3.294942108470445,-0.05437508975693136,0
chingola,2021,4861,4767,25613,5.27,5.269080436124255,5.372980910425844,2.8032188879916617,2
chingola,2022,3282,3012,10737,3.27,3.2714808043875685,3.564741035856574,0.32903071595882094,0
chinsali,2011,9420,8919,32059,3.4,3.403290870488323,3.5944612624733714,0.41974713612203024,0
chinsali,2012,12225,11755,42563,3.48,3.481635991820041,3.620842194810719,0.6203751803731218,0
chinsali,2013,11484,10428,40443,3.52,3.5216823406478577,3.8783084004602992,0.7229268199411252,0
chinsali,2014,14691,14007,49713,3.38,3.3839085154176027,3.549153994431356,0.3701123417057442,0
chinsali,2015,13944,12832,51478,3.69,3.6917670682730925,4.011689526184538,1.1584838231136434,0
chinsali,2016,13841,12714,40873,2.95,2.953038075283578,3.2148025798332545,-0.7332708972286143,0
chinsali,2017,21460,20779,82032,3.82,3.8225535880708295,3.947831945714423,1.4934050439300255,0
chinsali,2018,13446,12777,41104,3.06,3.056968615201547,3.217030601862722,-0.4671231064374546,0
chinsali,2019,14503,13104,38953,2.69,2.6858580983244846,2.972603785103785,-1.417471717001332,0
chinsali,2020,20074,18215,59707,2.97,2.9743449237820068,3.2779028273401045,-0.6787078144133547,0
chinsali,2021,18809,17859,64267,3.42,3.4168217342761444,3.598577747914217,0.4543972929235554,0
chinsali,2022,12195,10887,30252,2.48,2.480688806888069,2.7787269220170847,-1.9428741030284695,0
chipata,2011,69680,58806,140358,2.01,2.0143226176808264,2.386797265585144,-0.3874925646489449,0
chipata,2012,66501,63152,152824,2.3,2.2980707057036738,2.4199391943248036,0.7230896759595299,0
chipata,2013,67753,59784,143272,2.11,2.11462223074993,2.3964940452294927,0.005077372264529509,0
chipata,2014,71610,65570,176988,2.47,2.4715542521994136,2.6992222052768033,1.4020995227516242,0
chipata,2015,73850,60005,126265,1.71,1.7097494922139471,2.104241313223898,-1.579583431118138,0
chipata,2016,63168,58752,121017,1.92,1.915795972644377,2.059793709150327,-0.773123153269529,0
chipata,2017,89178,84846,193549,2.17,2.170367130906726,2.2811800202720223,0.22326138382920058,0
chipata,2018,62073,51552,118866,1.91,1.9149388623072834,2.305749534450652,-0.7764778596404188,0
chipata,2019,64869,56649,115910,1.79,1.786831922798255,2.0461084926477078,-1.2778849101999112,0
chipata,2020,65172,57461,158776,2.44,2.4362609709691276,2.7631959067889524,1.2639625872033573,0
chipata,2021,64082,61880,160122,2.5,2.498704784494866,2.587621202327085,1.50836596211515,0
chipata,2022,59238,49918,120175,2.03,2.0286809142779973,2.407448215072719,-0.33129458524644356,0
choma,2011,38043,26006,100268,2.64,2.635649133874826,3.855571791125125,1.669690280010035,0
choma,2012,51431,42763,110156,2.14,2.1418210806711904,2.5759652035638285,0.8580241086247847,0
choma,2013,50457,31534,88100,1.75,1.74604118358206,2.793809856028414,0.2075119481722161,0
choma,2014,45115,34309,94530,2.1,2.0953119804942926,2.755253723512781,0.781580773682067,0
choma,2015,49772,25834,75635,1.52,1.519629510568191,2.927730897267167,-0.1646230380844605,0
choma,2016,42965,30596,73643,1.71,1.7140230420109392,2.4069486207347364,0.1548862574782409,0
