,district,planted_ha,harvested_ha,production_mt,yield(mt/ha),year,yield
512,masaiti,21687,19782,42135,1.94,2012,2.129966636336063
513,masaiti,21052,19477,43060,2.05,2017,2.210812753504133
514,mazabuka,20224,14907,43869,2.17,2016,2.942845642986516
515,mazabuka,29073,7059,11914,0.41,2019,1.687774472304859
516,mazabuka,53503,35975,134190,2.51,2011,3.730090340514246
517,mazabuka,26701,24748,73303,2.75,2014,2.961976725391951
518,mazabuka,24085,14000,47863,1.99,2013,3.4187857142857143
519,mazabuka,25524,18956,38614,1.51,2021,2.037033129352184
520,mazabuka,28275,14151,51271,1.81,2015,3.6231361741219703
521,mazabuka,20282,12823,25267,1.25,2018,1.9704437339156204
522,mazabuka,25188,14130,38681,1.54,2022,2.737508846426044
523,mazabuka,18963,11765,25853,1.36,2020,2.1974500637484065
524,mazabuka,27105,24076,76537,2.82,2017,3.1789749127762086
525,mazabuka,26417,22249,59695,2.26,2012,2.683041934468965
526,mbala,39642,38868,80039,2.02,2016,2.059251826695482
527,mbala,27957,25147,97249,3.48,2011,3.8672207420368236
528,mbala,36641,34561,91307,2.49,2018,2.6419085095917363
529,mbala,47289,44759,130981,2.77,2021,2.926361178757345
530,mbala,30523,27724,78676,2.58,2013,2.837830038955418
531,mbala,41765,38145,97432,2.33,2014,2.5542535063573206
532,mbala,35648,34662,65248,1.83,2019,1.8824072471294213
533,mbala,39830,37658,76145,1.91,2015,2.0220139147060388
534,mbala,42843,41051,116046,2.71,2017,2.826873888577623
535,mbala,38599,33984,71713,1.86,2022,2.1101989171374766
536,mbala,39259,36545,92999,2.37,2020,2.5447804077165137
537,mbala,41349,40507,88480,2.14,2012,2.184313822302318
538,milenge,3326,3122,9421,2.83,2012,3.0176169122357464
539,milenge,3179,3030,7913,2.49,2011,2.6115511551155115
540,milenge,2917,2042,5600,1.92,2015,2.742409402546523
541,milenge,4471,2908,9156,2.05,2020,3.1485557083906466
542,milenge,3605,3004,9373,2.60,2022,3.12017310252996
543,milenge,2967,2891,7674,2.59,2016,2.6544448287789693
544,milenge,2926,2807,8509,2.91,2018,3.0313501959387246
545,milenge,4358,3978,13351,3.06,2017,3.3562091503267975
546,milenge,5392,5218,18239,3.38,2021,3.495400536604063
547,milenge,2827,2648,8047,2.85,2013,3.0388972809667676
548,milenge,2457,2263,7255,2.95,2014,3.205921343349536
549,milenge,4236,4130,13153,3.10,2019,3.1847457627118643
550,mkushi,29530,26423,130617,4.42,2014,4.9433069674147525
551,mkushi,31652,29176,107779,3.41,2021,3.694097888675624
552,mkushi,23776,20245,78160,3.29,2012,3.8607063472462335
553,mkushi,32748,30696,92318,2.82,2020,3.007492832942403
554,mkushi,25347,18881,62420,2.46,2019,3.3059689635082887
555,mkushi,34536,28538,130000,3.76,2011,4.555329735790876
556,mkushi,25182,20973,81880,3.25,2013,3.9040671339341055
557,mkushi,23700,20766,88195,3.72,2016,4.247086583838968
558,mkushi,22218,16713,58212,2.62,2018,3.483037156704362
559,mkushi,29423,27711,96131,3.27,2017,3.4690556096856846
560,mkushi,26135,24168,75200,2.88,2022,3.1115524660708376
561,mkushi,26793,20837,94242,3.52,2015,4.522819983682872
562,mongu,11444,5933,4664,0.41,2018,0.786111579302208
563,mongu,9827,5551,5315,0.54,2017,0.9574851378130067
564,mongu,7869,4555,5726,0.73,2011,1.2570801317233808
565,mongu,14327,7593,7172,0.50,2020,0.9445541946529699
566,mongu,12433,9711,11025,0.89,2022,1.1353104726598702
567,mongu,8259,2326,2297,0.28,2015,0.9875322441960447
568,mongu,8053,3222,2987,0.37,2013,0.9270639354438237
569,mongu,11414,3028,3009,0.26,2019,0.9937252311756936
570,mongu,7262,3889,5131,0.71,2014,1.3193623039341733
571,mongu,6648,4186,5704,0.86,2012,1.3626373626373627
572,mongu,6774,4450,6255,0.92,2016,1.40561797752809
573,mongu,14143,10568,11502,0.81,2021,1.0883800151400453
574,monze,44411,26057,57942,1.30,2013,2.2236635069271213
575,monze,42366,28157,50466,1.19,2022,1.7923074191142523
576,monze,57669,37050,102186,1.77,2011,2.7580566801619435
577,monze,35497,25396,66229,1.87,2020,2.6078516301779806
578,monze,34213,23335,48881,1.43,2016,2.0947503749732164
579,monze,40323,34884,87466,2.17,2017,2.507338607957803
580,monze,41667,27536,43614,1.05,2018,1.5838901801278327
