,district,correlation,rmse,ubrmse,bias
64,kapirimposhi,0.27083408578084683,1.1866131656614873,0.40186102989188915,1.1164938502183548
65,lukulu,0.4568339182725274,2.5023957537290586,0.41815911138887757,2.467210462413713
66,mansa,0.20550466055788988,0.8626058954244711,0.30619421165811395,0.8064329082869323
67,mungwi,0.1976018767120148,0.6422673374031592,0.2419840816135351,0.5949378429219289
68,zambezi,0.37708048282808293,1.8268587392678681,0.3916853124674822,1.7843753722904367
69,livingstone,0.40982654139422414,2.642838457993447,0.7633807052216683,2.5301867547563455
70,chadiza,0.35347512731588704,1.4965706111437076,0.3344616967968749,1.4587182618706074
71,mwinilunga,-0.32057489843434384,0.5590563878759607,0.4157810531003759,0.3737247124658188
72,isoka,0.3124753679819385,0.6472184791477538,0.27807426058702606,0.5844368788409148
73,mpongwe,-0.01496370057531235,0.7758325423498739,0.2934586099077632,0.7181909064030761
