,district,year,yield
320,chinsali,2007,3.8627
321,chinsali,2008,4.04929
322,chinsali,2009,4.0745
323,chinsali,2010,3.94071
324,chinsali,2011,3.96018
325,chinsali,2012,4.021260000000001
326,chinsali,2013,4.13481
327,chinsali,2014,3.9667200000000005
328,chinsali,2015,3.92644
329,chinsali,2016,3.97446
330,chinsali,2017,4.2813099999999995
331,chinsali,2018,3.84836
332,chinsali,2019,3.8010800000000002
333,chinsali,2020,3.9767
334,chinsali,2021,4.22947
335,chinsali,2022,3.7664814814814815
336,chipangali,1999,4.2839133333333335
337,chipangali,2000,4.18703
338,chipangali,2001,4.22044
339,chipangali,2002,4.16566
340,chipangali,2003,3.9868400000000004
341,chipangali,2004,4.30589
342,chipangali,2005,3.96857
343,chipangali,2006,3.9736900000000004
344,chipangali,2007,3.85219
345,chipangali,2008,4.0263
346,chipangali,2009,4.0870999999999995
347,chipangali,2010,3.92352
348,chipangali,2011,3.99191
349,chipangali,2012,4.0391
350,chipangali,2013,4.12837
351,chipangali,2014,4.01362
352,chipangali,2015,3.92575
353,chipangali,2016,3.94122
354,chipangali,2017,4.2657799999999995
355,chipangali,2018,3.81664
356,chipangali,2019,3.74906
357,chipangali,2020,3.9663
358,chipangali,2021,4.22155
359,chipangali,2022,3.8028301886792457
360,chipata,1999,4.267853333333333
361,chipata,2000,4.17567
362,chipata,2001,4.18565
363,chipata,2002,4.22992
364,chipata,2003,3.9321800000000002
365,chipata,2004,4.27099
366,chipata,2005,3.94536
367,chipata,2006,3.93015
368,chipata,2007,3.9119900000000003
369,chipata,2008,4.02534
370,chipata,2009,4.06672
371,chipata,2010,3.9400600000000003
372,chipata,2011,4.023569999999999
373,chipata,2012,4.04815
374,chipata,2013,4.17396
375,chipata,2014,4.00072
376,chipata,2015,3.8976800000000003
377,chipata,2016,3.94898
378,chipata,2017,4.2451
379,chipata,2018,3.87482
380,chipata,2019,3.78904
381,chipata,2020,3.95666
382,chipata,2021,4.21586
383,chipata,2022,3.8533137254901964
384,chipili,1999,4.25568
385,chipili,2000,4.15481
386,chipili,2001,4.23142
387,chipili,2002,4.22671
388,chipili,2003,3.9487799999999997
389,chipili,2004,4.37151
390,chipili,2005,3.96916
391,chipili,2006,3.97624
392,chipili,2007,3.8950299999999998
393,chipili,2008,4.0367500000000005
394,chipili,2009,4.10592
395,chipili,2010,3.98955
396,chipili,2011,3.9939
397,chipili,2012,4.00123
398,chipili,2013,4.09269
399,chipili,2014,4.00661
400,chipili,2015,3.9484
401,chipili,2016,3.97053
402,chipili,2017,4.27033
403,chipili,2018,3.8283199999999997
404,chipili,2019,3.7568400000000004
405,chipili,2020,3.93047
