district_b,yield,preharvest_yield,correlation,rmse,ubrmse,bias,yield_corrected
kalulushi,4.002607222222222,3.1450987481970927,0.2040056437691536,0.9025025905276284,0.3379874844141984,0.8368245851362411,3.165782637085981
kaoma,4.019324444444444,2.0372324581347216,0.4529809280111426,1.9783952596445076,0.3646647143504414,1.944496708531945,2.074827735912499
kapirimposhi,4.017348055555556,2.8764464702944657,0.3812500682626802,1.1678034318244614,0.3858557751818134,1.1022160297055346,2.9151320258500215
kaputa,4.022849444444445,2.381314775508549,-0.5314955488697376,1.7106293374172412,0.6003582579099568,1.6018185578247843,2.4210308866196604
kasama,4.015337222222223,3.525665990112838,0.3416870189091001,0.5591746564055216,0.3317735288860955,0.450114009887162,3.5652232123350607
kasempa,3.987226527777778,3.271742102483216,0.3817819042397918,0.7316897287752193,0.2397918244425781,0.6912812308501176,3.2959452969276604
katete,4.004543472222222,1.8205541727521908,0.4782078464939751,2.142561037856774,0.2247946516812416,2.130735827247809,1.8738076449744132
kawambwa,3.976031527777778,3.3335072579210254,-0.211470047727381,0.7126957284377718,0.3707173998226751,0.6086902420789749,3.367341285698803
kazungula,4.017315833333334,1.8106382219553503,0.2768906273202883,2.188486250652953,0.2615494675173923,2.1728009447113164,1.8445148886220175
kitwe,3.999469027777778,2.808148211950669,-0.2009506190447647,1.2390238868998784,0.4351967804883662,1.1600792880493314,2.839389739728446
livingstone,4.016987777777778,1.4581968144260442,0.287321802255875,2.640326055415356,0.7821878055250437,2.5218056855739555,1.4951820922038221
luangwa,3.996321388888889,1.072698648588117,-0.0677288320615624,2.90948815962997,0.3358666726797025,2.8900371847452164,1.1062842041436727
luanshya,3.9956530555555556,2.935154696972022,-0.0227508363028014,1.1221792542464657,0.4294570524682101,1.036751136361311,2.9589019191942443
lufwanyama,3.9799034722222224,2.5053067493006482,0.2404827957701601,1.494089361862062,0.3766521242190868,1.445834084032685,2.534069388189537
lukulu,4.005495,1.505122823749809,0.3854866599050188,2.493931817127041,0.4305375329178166,2.4564880095835244,1.5490069904164754
lundazi,4.008468472222222,2.5735461462604245,0.2722109271274573,1.4436117019134087,0.3585373016621879,1.398379687072909,2.610088785149313
lusaka,4.014762916666666,3.6455405101541576,-0.2040952523423809,1.9104665333843585,1.8791387074049843,0.3445578231791755,3.670205093487491
luwingu,4.017740555555556,3.517305802450922,0.4864966598133167,0.5555369095440769,0.3045696124076151,0.4646058642157446,3.5531346913398116
mafinga,3.9752798611111113,4.044145868769683,0.0750579696703134,0.3862510657855122,0.3762912567222801,-0.0887558687696829,4.0640357298807945
mambwe,3.997781805555556,1.8802533172617617,0.5018935363503935,2.1058118020916106,0.3200289339903824,2.0813516827382386,1.9164301228173173
mansa,4.008568888888889,3.17558956084887,0.1004579112930818,0.8510873970405295,0.3106043676809699,0.7923854391511297,3.2161834497377595
masaiti,3.990330416666667,2.5913757634924703,-0.4186627146021905,1.4408797506616606,0.436055905279261,1.3733134031741967,2.6170170134924704
mazabuka,3.999543888888889,2.764088474191057,0.3981942208172893,1.3367859196820775,0.6002864817855041,1.1944256924756098,2.8051181964132788
mbala,4.019076111111111,2.538117833330293,0.4794913762725239,1.5186269369611878,0.4773086571712892,1.441667166669707,2.5774089444414034
milengi,4.014628611111111,3.0506062816245922,0.1506526877553606,0.9579293503002808,0.2741298702715698,0.9178678850420744,3.0967607260690366
mkushi,4.0058662499999995,3.842043472457917,0.24783683559461,0.583330503672538,0.5709245112854451,0.119664860875416,3.8862013891245835
mongu,4.023193333333333,1.0970717155172225,0.0455239092017515,2.895200654537579,0.2318903012698394,2.885899117816111,1.1372942155172225
