,index,province_b,year,yield,yield_bias
101,101,lusaka,2004,4.040326666666666,2.122638439000667
102,102,lusaka,2005,4.034635,2.1169467723340007
103,103,lusaka,2006,3.8000716666666654,1.8823834390006664
104,104,lusaka,2007,4.036025,2.1183367723340014
105,105,lusaka,2008,4.06309,2.145401772334001
106,106,lusaka,2009,3.79367,1.875981772334001
107,107,lusaka,2010,4.04732,2.129631772334001
108,108,lusaka,2011,4.181665,2.2639767723340007
109,109,lusaka,2012,4.075748333333333,2.1580601056673343
110,110,lusaka,2013,3.9390233333333335,2.0213351056673345
111,111,lusaka,2014,3.9279916666666663,2.0103034390006673
112,112,lusaka,2015,3.980073333333333,2.062385105667334
113,113,lusaka,2016,4.1072766666666665,2.1895884390006675
114,114,lusaka,2017,4.076663333333333,2.1589751056673343
115,115,lusaka,2018,3.6774966666666655,1.7598084390006665
116,116,lusaka,2019,3.908455,1.990766772334001
117,117,lusaka,2020,4.137918333333333,2.2202301056673344
118,118,lusaka,2021,3.8962616666666654,1.9785734390006664
119,119,lusaka,2022,3.578165,1.6604767723340008
120,120,muchinga,1999,4.2768793604651165,2.8501686511698434
121,121,muchinga,2000,4.11855125,2.6918405407047272
122,122,muchinga,2001,4.31446625,2.8877555407047266
123,123,muchinga,2002,3.9918225,2.5651117907047274
124,124,muchinga,2003,4.2560525,2.829341790704727
125,125,muchinga,2004,4.0637275,2.6370167907047266
126,126,muchinga,2005,4.02179375,2.5950830407047265
127,127,muchinga,2006,3.8261375,2.3994267907047275
128,128,muchinga,2007,4.06301125,2.6363005407047266
129,129,muchinga,2008,4.05860125,2.6318905407047266
130,130,muchinga,2009,3.78311,2.3563992907047275
131,131,muchinga,2010,4.03979375,2.613083040704727
132,132,muchinga,2011,4.2080475,2.781336790704727
133,133,muchinga,2012,4.11266625,2.685955540704727
134,134,muchinga,2013,3.93669875,2.5099880407047275
135,135,muchinga,2014,3.95672375,2.530013040704727
136,136,muchinga,2015,3.9305525,2.503841790704727
137,137,muchinga,2016,4.15364875,2.7269380407047272
138,138,muchinga,2017,4.119295,2.692584290704727
139,139,muchinga,2018,3.692565,2.265854290704727
140,140,muchinga,2019,3.9002325,2.4735217907047273
141,141,muchinga,2020,4.12856875,2.7018580407047272
142,142,muchinga,2021,3.91342625,2.4867155407047274
143,143,muchinga,2022,3.5510525,2.124341790704727
144,144,northern,1999,4.279739444444444,2.679264728139265
145,145,northern,2000,4.160293333333333,2.559818617028154
146,146,northern,2001,4.2907525,2.690277783694821
147,147,northern,2002,4.023314166666667,2.4228394503614883
148,148,northern,2003,4.255790833333333,2.6553161170281543
149,149,northern,2004,4.073160833333334,2.4726861170281547
150,150,northern,2005,4.0262633333333335,2.4257886170281546
151,151,northern,2006,3.8099358333333337,2.209461117028155
152,152,northern,2007,4.047545833333333,2.4470711170281545
153,153,northern,2008,4.065659166666667,2.4651844503614884
154,154,northern,2009,3.8094025,2.208927783694821
155,155,northern,2010,4.052451666666667,2.4519769503614883
156,156,northern,2011,4.197873333333333,2.597398617028154
157,157,northern,2012,4.068324166666667,2.467849450361488
158,158,northern,2013,3.9296583333333337,2.329183617028155
159,159,northern,2014,3.94744,2.346965283694821
160,160,northern,2015,3.9693375,2.368862783694821
161,161,northern,2016,4.1279975,2.5275227836948213
162,162,northern,2017,4.0952633333333335,2.4947886170281546
163,163,northern,2018,3.683930833333333,2.0834561170281543
164,164,northern,2019,3.915924166666666,2.3154494503614873
165,165,northern,2020,4.129550833333333,2.529076117028154
166,166,northern,2021,3.928143333333333,2.327668617028154
167,167,northern,2022,3.5689275,1.9684527836948211
168,168,northwestern,1999,4.294818787878788,2.4781478449315735
169,169,northwestern,2000,4.137570909090909,2.3208999661436946
170,170,northwestern,2001,4.249651818181818,2.4329808752346036
171,171,northwestern,2002,4.008276363636363,2.1916054206891484
172,172,northwestern,2003,4.25192,2.4352490570527854
173,173,northwestern,2004,4.055829090909091,2.2391581479618763
174,174,northwestern,2005,4.014515454545454,2.1978445115982392
175,175,northwestern,2006,3.801617272727273,1.9849463297800582
176,176,northwestern,2007,4.040983636363636,2.2243126934164215
177,177,northwestern,2008,4.0585190909090905,2.2418481479618757
178,178,northwestern,2009,3.813189090909091,1.996518147961876
179,179,northwestern,2010,4.0567590909090905,2.2400881479618757
180,180,northwestern,2011,4.213478181818182,2.3968072388709674
181,181,northwestern,2012,4.0642190909090905,2.2475481479618757
182,182,northwestern,2013,3.954893636363636,2.138222693416421
183,183,northwestern,2014,3.922617272727273,2.1059463297800582
184,184,northwestern,2015,3.981209090909091,2.1645381479618764
185,185,northwestern,2016,4.13611,2.3194390570527856
186,186,northwestern,2017,4.105281818181818,2.2886108752346033
187,187,northwestern,2018,3.671657272727273,1.8549863297800582
188,188,northwestern,2019,3.918538181818182,2.1018672388709674
189,189,northwestern,2020,4.140072727272727,2.3234017843255126
190,190,northwestern,2021,3.9109672727272726,2.094296329780058
191,191,northwestern,2022,3.5606236363636365,1.7439526934164218
192,192,southern,1999,4.274086222222223,1.5563547278372565
193,193,southern,2000,4.136971333333333,1.4192398389483665
194,194,southern,2001,4.270035333333333,1.5523038389483665
195,195,southern,2002,4.00884,1.2911085056150333
196,196,southern,2003,4.232668666666666,1.5149371722816993
197,197,southern,2004,4.062277333333333,1.3445458389483664
198,198,southern,2005,4.0305686666666665,1.3128371722816996
199,199,southern,2006,3.798766,1.0810345056150332
200,200,southern,2007,4.040434666666666,1.3227031722816993
201,201,southern,2008,4.0608233333333335,1.3430918389483666
202,202,southern,2009,3.793891333333333,1.076159838948366
203,203,southern,2010,4.044857333333334,1.3271258389483669
204,204,southern,2011,4.180487333333334,1.4627558389483668
205,205,southern,2012,4.063026,1.345294505615033
206,206,southern,2013,3.9348526666666666,1.2171211722816997
207,207,southern,2014,3.927204,1.2094725056150333
208,208,southern,2015,3.963867333333333,1.246135838948366
209,209,southern,2016,4.126286,1.4085545056150335
210,210,southern,2017,4.094316666666667,1.3765851722817
211,211,southern,2018,3.668478,0.950746505615033
212,212,southern,2019,3.9122266666666663,1.1944951722816994
213,213,southern,2020,4.126516,1.4087845056150328
214,214,southern,2021,3.8940566666666663,1.1763251722816994
215,215,southern,2022,3.5594693333333334,0.8417378389483665
216,216,western,1999,4.29105125,0.9891714714083384
217,217,western,2000,4.140535,0.8386552214083385
218,218,western,2001,4.30657375,1.0046939714083387
219,219,western,2002,4.0161425,0.7142627214083386
220,220,western,2003,4.25085125,0.9489714714083388
221,221,western,2004,4.08156125,0.7796814714083387
222,222,western,2005,4.0200112500000005,0.7181314714083391
223,223,western,2006,3.80045,0.49857022140833873
