index,district,season_year,yield,zyield,flag,yield_bias
2628,sinazongwe,2011,4.12433,0.7363115904804202,0,1.8342992721416427
2629,sinazongwe,2012,4.06776,0.4086250478552838,0,1.777729272141643
2630,sinazongwe,2013,3.91047,-0.5024906723057165,0,1.6204392721416432
2631,sinazongwe,2014,3.91761,-0.4611316142476729,0,1.6275792721416429
2632,sinazongwe,2015,3.91745,-0.4620584278736244,0,1.6274192721416432
2633,sinazongwe,2016,4.12832,0.7594240052775614,0,1.8382892721416435
2634,sinazongwe,2017,4.1278500000000005,0.756701490251337,0,1.8378192721416435
2635,sinazongwe,2018,3.64213,-2.0568729747280137,1,1.352099272141643
2636,sinazongwe,2019,3.90827,-0.5152343596625376,0,1.618239272141643
2637,sinazongwe,2020,4.09866,0.5876159293669814,0,1.8086292721416428
2638,sinazongwe,2021,3.83836,-0.9201939883512996,0,1.5483292721416433
2639,sinazongwe,2022,3.62616,-2.149380559768204,1,1.3361292721416431
72,chavuma,1999,4.274073333333333,1.4178399051656003,0,2.948620691165641
73,chavuma,2000,4.08929,0.3775870023033317,0,2.7638373578323083
74,chavuma,2001,4.32619,1.711234946858608,0,3.0007373578323087
75,chavuma,2002,4.04324,0.1183447572768624,0,2.717787357832308
76,chavuma,2003,4.27628,1.4302625158212314,0,2.950827357832308
77,chavuma,2004,4.07838,0.3161682641222511,0,2.7529273578323084
78,chavuma,2005,4.02284,0.0035012871674147,0,2.6973873578323087
79,chavuma,2006,3.79674,-1.2693471732122694,0,2.471287357832308
80,chavuma,2007,4.0416,0.1091122430131614,0,2.716147357832308
81,chavuma,2008,4.03458,0.0695925782990299,0,2.7091273578323083
82,chavuma,2009,3.8176,-1.1519140954434917,0,2.4921473578323083
83,chavuma,2010,4.09536,0.4117585642427612,0,2.7699073578323086
84,chavuma,2011,4.25511,1.311084267673343,0,2.9296573578323084
85,chavuma,2012,4.06521,0.2420266709192433,0,2.7397573578323087
86,chavuma,2013,3.9944,-0.1566040211616318,0,2.6689473578323084
87,chavuma,2014,3.91874,-0.5825381853028396,0,2.5932873578323083
88,chavuma,2015,3.97098,-0.2884488285127707,0,2.645527357832308
89,chavuma,2016,4.14437,0.6876643715988354,0,2.8189173578323086
90,chavuma,2017,4.10715,0.4781313344677761,0,2.781697357832308
91,chavuma,2018,3.69305,-1.8530785171166009,0,2.367597357832308
92,chavuma,2019,3.88805,-0.7553100528351369,0,2.562597357832308
93,chavuma,2020,4.12135,0.5580713969949378,0,2.795897357832308
94,chavuma,2021,3.88365,-0.7800802130548209,0,2.558197357832308
95,chavuma,2022,3.595,-2.405059019284791,1,2.2695473578323084
504,chongwe,1999,4.271066666666666,1.5263629486040948,0,3.121348829686506
505,chongwe,2000,4.16322,0.8928895864698091,0,3.0135021630198398
506,chongwe,2001,4.30335,1.7159898730112992,0,3.15363216301984
507,chongwe,2002,3.93708,-0.4354191182935686,0,2.7873621630198397
508,chongwe,2003,4.20251,1.123672504176334,0,3.05279216301984
509,chongwe,2004,4.03941,0.1656502624371134,0,2.88969216301984
510,chongwe,2005,4.06174,0.2968129642031227,0,2.91202216301984
511,chongwe,2006,3.80527,-1.2096491102227365,0,2.65555216301984
512,chongwe,2007,4.02859,0.1020953841071376,0,2.87887216301984
513,chongwe,2008,4.0665,0.3247724116015212,0,2.9167821630198394
514,chongwe,2009,3.78465,-1.3307675567258803,0,2.63493216301984
515,chongwe,2010,4.04279,0.1855038196233704,0,2.89307216301984
516,chongwe,2011,4.2001800000000005,1.1099864721514896,0,3.0504621630198403
517,chongwe,2012,4.06236,0.3004547409651019,0,2.91264216301984
518,chongwe,2013,3.92874,-0.4844068895756355,0,2.7790221630198397
519,chongwe,2014,3.99495,-0.0955003743975014,0,2.8452321630198396
520,chongwe,2015,3.988210000000001,-0.1350900121002733,0,2.8384921630198408
521,chongwe,2016,4.10585,0.555907759317272,0,2.95613216301984
522,chongwe,2017,4.058879999999999,0.2800138004301353,0,2.909162163019839
523,chongwe,2018,3.69077,-1.8822030444909177,0,2.54105216301984
524,chongwe,2019,3.88109,-0.7642950552339693,0,2.7313721630198398
525,chongwe,2020,4.17001,0.9327729158469332,0,3.0202921630198403
526,chongwe,2021,3.85917,-0.8930494852702898,0,2.70945216301984
527,chongwe,2022,3.62262,-2.2825047966339467,1,2.47290216301984
0,chadiza,1999,4.261113333333333,1.5020186886268387,0,2.8019108739318614
1,chadiza,2000,4.16892,0.965961096387473,0,2.709717540598528
2,chadiza,2001,4.14763,0.8421705171108476,0,2.6884275405985285
3,chadiza,2002,4.04045,0.2189730400385899,0,2.581247540598528
4,chadiza,2003,4.23746,1.3644865216396884,0,2.7782575405985277
5,chadiza,2004,4.04879,0.2674659207885707,0,2.5895875405985285
6,chadiza,2005,4.0281400000000005,0.1473966177325708,0,2.5689375405985286
7,chadiza,2006,3.83448,-0.9786383086512168,0,2.3752775405985282
8,chadiza,2007,4.02517,0.1301275702712456,0,2.5659675405985283
9,chadiza,2008,4.02285,0.1166379439714909,0,2.563647540598528
10,chadiza,2009,3.80093,-1.1737145855291236,0,2.3417275405985283
11,chadiza,2010,4.041,0.2221710117906897,0,2.5817975405985285
12,chadiza,2011,4.18547,1.062190973655113,0,2.7262675405985277
13,chadiza,2012,4.05524,0.3049694076995253,0,2.5960375405985285
14,chadiza,2013,3.95187,-0.2960748468718477,0,2.4926675405985286
15,chadiza,2014,3.86459,-0.8035638914591469,0,2.4053875405985288
16,chadiza,2015,3.9641,-0.2249635840934016,0,2.5048975405985283
17,chadiza,2016,4.11757,0.6673868246235181,0,2.658367540598528
18,chadiza,2017,4.14503,0.8270528324645757,0,2.6858275405985284
19,chadiza,2018,3.67316,-1.9166324960117032,0,2.2139575405985283
20,chadiza,2019,3.89315,-0.6375019401139,0,2.4339475405985285
21,chadiza,2020,4.09779,0.5523761314299256,0,2.638587540598528
22,chadiza,2021,3.94755,-0.3211934613610442,0,2.4883475405985287
23,chadiza,2022,3.51451,-2.839101984139281,2,2.0553075405985286
696,kalabo,1999,4.333933333333333,1.7438425352670102,0,1.424501431074129
697,kalabo,2000,4.11686,0.5330638627565907,0,1.2074280977407956
698,kalabo,2001,4.3195,1.66333715072768,0,1.4100680977407953
699,kalabo,2002,3.9938,-0.1533328546620958,0,1.0843680977407955
700,kalabo,2003,4.25307,1.2928078647036023,0,1.3436380977407958
701,kalabo,2004,4.06703,0.2551250651865181,0,1.1575980977407956
702,kalabo,2005,4.0189,-0.0133315739274234,0,1.109468097740796
703,kalabo,2006,3.78461,-1.320140341390639,0,0.8751780977407955
704,kalabo,2007,4.04835,0.150932876974419,0,1.1389180977407958
705,kalabo,2008,4.13862,0.6544354909950996,0,1.229188097740796
706,kalabo,2009,3.81636,-1.1430470878716776,0,0.9069280977407956
707,kalabo,2010,4.0723,0.2845197564005332,0,1.162868097740796
708,kalabo,2011,4.18553,0.9160872869816934,0,1.2760980977407956
709,kalabo,2012,4.0730200000000005,0.2885357293937206,0,1.1635880977407962
710,kalabo,2013,3.92852,-0.5174477393776151,0,1.0190880977407955
711,kalabo,2014,3.94316,-0.4357896218495024,0,1.0337280977407959
712,kalabo,2015,3.93987,-0.4541403873322508,0,1.0304380977407956
713,kalabo,2016,4.126,0.5840444088089801,0,1.216568097740796
714,kalabo,2017,4.0797,0.3257950343860526,0,1.1702680977407955
715,kalabo,2018,3.67681,-1.9214207423148604,0,0.7673780977407958
716,kalabo,2019,3.89842,-0.685337721453858,0,0.9889880977407959
717,kalabo,2020,4.15372,0.7386593690466335,0,1.2442880977407955
718,kalabo,2021,3.94809,-0.408291362326714,0,1.0386580977407958
719,kalabo,2022,3.59479,-2.378906999121951,1,0.6853580977407958
1632,milengi,1999,4.286046666666667,1.5066554396701406,0,3.368178781624592
1633,milengi,2000,4.10226,0.4864462995471926,0,3.1843921149579257
1634,milengi,2001,4.34166,1.815367883333289,0,3.4237921149579256
1635,milengi,2002,4.00444,-0.0565574988068451,0,3.0865721149579253
1636,milengi,2003,4.27762,1.4598785841450597,0,3.3597521149579253
1637,milengi,2004,4.10191,0.4845034317346394,0,3.1840421149579257
1638,milengi,2005,4.01956,0.0273743906954372,0,3.1016921149579257
1639,milengi,2006,3.78237,-1.2892793706171126,0,2.8645021149579253
1640,milengi,2007,4.085,0.3906351611338743,0,3.1671321149579255
1641,milengi,2008,4.08258,0.3772016179727959,0,3.1647121149579256
1642,milengi,2009,3.7923,-1.234157435249545,0,2.8744321149579255
1643,milengi,2010,4.03338,0.1040899140368064,0,3.1155121149579257
1644,milengi,2011,4.2095400000000005,1.0819630393490842,0,3.291672114957926
1645,milengi,2012,4.07523,0.336401393909189,0,3.157362114957926
1646,milengi,2013,3.94168,-0.4049414528520221,0,3.0238121149579253
1647,milengi,2014,3.95725,-0.318511590447887,0,3.0393821149579257
1648,milengi,2015,3.98946,-0.1397122411841014,0,3.0715921149579253
1649,milengi,2016,4.10585,0.506374572253091,0,3.1879821149579257
1650,milengi,2017,4.04275,0.1561032609042888,0,3.1248821149579253
1651,milengi,2018,3.6934,-1.7831563685680314,0,2.7755321149579255
1652,milengi,2019,3.87867,-0.7547131696204503,0,2.9608021149579256
1653,milengi,2020,4.10529,0.5032659837530059,0,3.1874221149579256
1654,milengi,2021,3.86017,-0.8574076111410966,0,2.9423021149579256
1655,milengi,2022,3.58267,-2.3978242339507974,1,2.6648021149579253
1200,luanshya,1999,4.289173333333333,1.750032826948197,0,3.252422196972022
1201,luanshya,2000,4.1205,0.7443651006877616,0,3.0837488636386885
1202,luanshya,2001,3.96664,-0.1729822553204814,0,2.9298888636386886
1203,luanshya,2002,3.95204,-0.2600306850469868,0,2.915288863638689
1204,luanshya,2003,4.23121,1.404442611305679,0,3.1944588636386886
1205,luanshya,2004,4.00858,0.0770733024007328,0,2.971828863638689
1206,luanshya,2005,4.04489,0.2935615546863092,0,3.0081388636386883
1207,luanshya,2006,3.8091,-1.1122705853967738,0,2.7723488636386886
1208,luanshya,2007,4.0476600000000005,0.3100769074494938,0,3.010908863638689
1209,luanshya,2008,4.06628,0.4210934664568574,0,3.0295288636386886
1210,luanshya,2009,3.79656,-1.187036839422146,0,2.759808863638689
1211,luanshya,2010,4.09145,0.5711625744168706,0,3.0546988636386887
1212,luanshya,2011,4.22466,1.3653900623530346,0,3.1879088636386888
1213,luanshya,2012,4.08363,0.5245380045222637,0,3.046878863638689
1214,luanshya,2013,3.95131,-0.2643831065333141,0,2.914558863638689
1215,luanshya,2014,3.8159,-1.0717274811405968,0,2.7791488636386887
1216,luanshya,2015,3.92956,-0.3940614179409499,0,2.892808863638689
1217,luanshya,2016,4.13364,0.8227086874416174,0,3.0968888636386884
1218,luanshya,2017,4.11118,0.688797198971938,0,3.0744288636386887
1219,luanshya,2018,3.66385,-1.978283216751237,1,2.6270988636386887
1220,luanshya,2019,3.88447,-0.66289797248672,0,2.847718863638689
1221,luanshya,2020,4.13919,0.8557990151801207,0,3.102438863638689
1222,luanshya,2021,3.91291,-0.4933324011564543,0,2.876158863638689
1223,luanshya,2022,3.62129,-2.2320353516252185,1,2.584538863638689
264,chilubi,1999,4.311133333333333,1.6562061836440596,0,3.093767023410143
265,chilubi,2000,4.16161,0.7737823302816182,0,2.944243690076809
266,chilubi,2001,4.28481,1.5008569367037137,0,3.06744369007681
267,chilubi,2002,4.04067,0.0600452937500668,0,2.82330369007681
268,chilubi,2003,4.27461,1.4406608248083768,0,3.0572436900768096
269,chilubi,2004,4.0879,0.3387768981438598,0,2.87053369007681
270,chilubi,2005,4.01703,-0.0794680479367715,0,2.7996636900768097
271,chilubi,2006,3.81022,-1.299973724512689,0,2.5928536900768098
272,chilubi,2007,4.03329,0.01649163631991,0,2.8159236900768096
273,chilubi,2008,4.04171,0.0661829365315502,0,2.8243436900768097
274,chilubi,2009,3.84647,-1.0860414641003426,0,2.6291036900768097
275,chilubi,2010,4.06144,0.1826211019918415,0,2.8440736900768098
276,chilubi,2011,4.22204,1.1304147853634945,0,3.0046736900768094
277,chilubi,2012,4.05382,0.1376510654582663,0,2.8364536900768096
278,chilubi,2013,3.94137,-0.5259815602898192,0,2.7240036900768096
279,chilubi,2014,3.95664,-0.4358644398347454,0,2.7392736900768098
280,chilubi,2015,4.03186,0.0080523774953676,0,2.8144936900768096
281,chilubi,2016,4.13719,0.6296657565086726,0,2.91982369007681
282,chilubi,2017,4.1116,0.4786443346065501,0,2.8942336900768098
283,chilubi,2018,3.69681,-1.9692718666744533,1,2.4794436900768098
284,chilubi,2019,3.91921,-0.6567605641722342,0,2.7018436900768097
285,chilubi,2020,4.11102,0.4752214184399512,0,2.8936536900768095
286,chilubi,2021,3.97283,-0.340317866149892,0,2.7554636900768097
287,chilubi,2022,3.60661,-2.501594346376341,1,2.3892436900768095
1824,mpulungu,1999,4.265280000000001,1.4293696511263552,0,2.9399997264197397
1825,mpulungu,2000,4.21743,1.1593840580248918,0,2.8921497264197393
