district,season_year,yield,zyield,flag
chembe,2016,4.11613,0.5758563587747941,0
chembe,2017,4.06878,0.2985351541828826,0
chembe,2018,3.68723,-1.9361407827135142,0
chembe,2019,3.98468,-0.19402478892545832,0
chembe,2020,4.1360399999999995,0.692465971941105,0
chembe,2021,3.90067,-0.686057616755799,0
chembe,2022,3.6004300000000002,-2.4445141841618345,1
chibombo,1999,4.2627999999999995,1.4690964775386461,0
chibombo,2000,4.13136,0.7064810433739204,0
chibombo,2001,4.2657,1.4859222897653503,0
chibombo,2002,4.0641,0.31623823979875515,0
chibombo,2003,4.2399000000000004,1.336230580989867,0
chibombo,2004,4.04739,0.21928674934765618,0
chibombo,2005,4.00816,-0.008325876050108592,0
chibombo,2006,3.8015499999999998,-1.2070779671393879,0
chibombo,2007,4.05199,0.24597596874173489,0
