cname,planting,harvest,lai,wsgd,gwad
Arusha,2015-09-15,2016-01-18,0.18,0,1512
Arusha,2015-10-08,2016-02-15,0.24,0,1823
Arusha,2015-10-03,2016-02-10,0.18,0,1397
Arusha,2015-10-04,2016-02-11,0.18,0,1437
Arusha,2015-09-18,2016-01-22,0.17,0,1402
Arusha,2015-09-21,2016-01-26,0.17,0,1240
Arusha,2015-09-19,2016-01-23,0.18,0,1403
Arusha,2015-10-07,2016-02-14,0.19,0,1630
Arusha,2015-09-30,2016-02-06,0.17,0,1220
Arusha,2015-10-13,2016-02-23,0.2,0,1745
Arusha,2015-09-29,2016-02-05,0.15,0,1164
Arusha,2015-10-03,2016-02-10,0.21,0,1538
Arusha,2015-10-14,2016-02-24,0.2,0,1693
Arusha,2015-10-08,2016-02-15,0.2,0,1682
Arusha,2015-10-05,2016-02-12,0.16,0,1448
Arusha,2015-09-23,2016-01-29,0.18,0,1305
Arusha,2015-10-11,2016-02-18,0.27,0,1952
Arusha,2015-09-17,2016-01-21,0.18,0,1479
Arusha,2016-01-14,2016-06-07,0.25,0,2083
Arusha,2016-01-18,2016-06-12,0.17,0,1701
Arusha,2016-02-05,2016-06-30,0.2,0,2204
Arusha,2016-01-19,2016-06-13,0.2,0,1934
Arusha,2016-01-25,2016-06-20,0.32,0,2555
Arusha,2016-01-28,2016-06-21,0.19,0,1962
Arusha,2016-01-14,2016-06-07,0.23,0,1958
Arusha,2016-01-10,2016-06-03,0.18,0,1611
Arusha,2016-01-20,2016-06-14,0.26,0,2223
Arusha,2016-01-30,2016-06-24,0.2,0,2014
Arusha,2016-01-30,2016-06-24,0.19,0,1957
Arusha,2016-01-31,2016-06-25,0.22,0,2214
Arusha,2016-02-03,2016-06-28,0.21,0,2207
Arusha,2016-02-07,2016-06-30,0.13,0,1811
Arusha,2016-01-14,2016-06-07,0.16,0,1646
Arusha,2016-01-22,2016-06-17,0.2,0,1970
Arusha,2016-01-29,2016-06-22,0.17,0,1856
Arusha,2016-02-08,2016-06-30,0.2,0,2321
Arusha,2016-01-22,2016-06-17,0.24,0,2142
Arusha,2016-01-27,2016-06-20,0.21,0,2066
Arusha,2016-01-23,2016-06-18,0.18,0,1881
Arusha,2016-01-15,2016-06-08,0.3,0,2254
Arusha,2016-01-11,2016-06-04,0.27,0,2025
Arusha,2016-01-13,2016-06-06,0.2,0,1792
Arusha,2016-01-27,2016-06-20,0.68,0,3231
Arusha,2016-02-02,2016-06-27,0.17,0,1997
Arusha,2016-01-18,2016-06-12,0.76,0,3265
Arusha,2016-01-19,2016-06-13,0.19,0,1887
Arusha,2016-01-31,2016-06-25,0.18,0,1998
Arusha,2016-01-26,2016-06-21,0.24,0,2160
Arusha,2016-01-30,2016-06-24,0.24,0,2226
Arusha,2016-01-14,2016-06-07,0.16,0,1640
Arusha,2016-02-04,2016-06-29,0.15,0,1900
Arusha,2016-01-31,2016-06-25,0.2,0,2114
Arusha,2016-02-05,2016-06-30,0.17,0,2062
Arusha,2016-02-04,2016-06-29,0.58,0,3409
Arusha,2016-01-15,2016-06-08,0.17,0,1720
Arusha,2016-02-06,2016-06-30,0.13,0,1759
Arusha,2016-01-31,2016-06-25,1.32,0.363,3855
Arusha,2016-01-24,2016-06-19,0.22,0,2126
Arusha,2016-10-02,2017-02-04,0.19,0,1399
Arusha,2016-10-03,2017-02-05,0.22,0,1532
Arusha,2016-10-02,2017-02-04,0.15,0,1259
Arusha,2016-10-09,2017-02-12,0.33,0,1721
Arusha,2016-09-16,2017-01-19,0.39,0,1489
Arusha,2016-10-02,2017-02-04,0.18,0,1361
Arusha,2016-09-26,2017-01-28,0.19,0,1274
Arusha,2016-09-29,2017-01-31,0.19,0,1273
Arusha,2016-09-18,2017-01-21,1.07,0,2369
Arusha,2016-10-01,2017-02-03,0.24,0,1551
Arusha,2016-10-11,2017-02-14,0.31,0,1656
Arusha,2016-09-30,2017-02-01,0.22,0,1379
Arusha,2016-09-30,2017-02-01,0.97,0,2499
Arusha,2016-10-10,2017-02-13,0.24,0,1555
Arusha,2016-09-14,2017-01-17,0.14,0,1053
Arusha,2016-09-20,2017-01-23,0.22,0,1263
Arusha,2016-09-17,2017-01-20,0.2,0,1174
Arusha,2016-09-26,2017-01-28,0.22,0,1343
Arusha,2016-09-28,2017-01-30,0.2,0,1328
Arusha,2016-09-24,2017-01-25,0.21,0,1350
Arusha,2016-09-26,2017-01-28,0.17,0,1268
Arusha,2016-09-18,2017-01-21,0.16,0,1064
Arusha,2016-09-23,2017-01-26,0.79,0,2232
Arusha,2016-10-06,2017-02-09,0.2,0,1590
Arusha,2016-09-23,2017-01-26,0.21,0,1322
Arusha,2016-09-21,2017-01-24,0.17,0,1159
Arusha,2016-09-16,2017-01-19,0.27,0,1280
Arusha,2016-09-28,2017-01-30,0.19,0,1279
Arusha,2016-09-28,2017-01-30,0.18,0,1233
Arusha,2016-09-15,2017-01-18,0.2,0,1178
Arusha,2016-10-11,2017-02-14,0.19,0,1406
