,district,season_year,cultivar,year,yield
339,chama,2016,cultivar9,2017,6.02842
340,chama,2017,cultivar1,2017,4.09818
341,chama,2017,cultivar1,2018,4.15522
342,chama,2017,cultivar10,2017,5.24698
343,chama,2017,cultivar10,2018,5.26144
344,chama,2017,cultivar2,2017,4.22268
345,chama,2017,cultivar2,2018,3.94996
346,chama,2017,cultivar3,2017,6.69126
347,chama,2017,cultivar3,2018,6.4609000000000005
348,chama,2017,cultivar4,2017,2.61236
349,chama,2017,cultivar4,2018,2.6546
350,chama,2017,cultivar5,2017,3.82884
351,chama,2017,cultivar5,2018,3.64046
352,chama,2017,cultivar6,2017,6.13732
353,chama,2017,cultivar6,2018,6.2719
354,chama,2017,cultivar7,2017,6.56702
355,chama,2017,cultivar7,2018,6.87908
356,chama,2017,cultivar8,2017,5.9905
357,chama,2017,cultivar8,2018,6.31916
358,chama,2017,cultivar9,2017,6.1126
359,chama,2017,cultivar9,2018,6.1205
360,chama,2018,cultivar1,2018,3.52106
361,chama,2018,cultivar1,2019,3.7329399999999997
362,chama,2018,cultivar10,2018,5.1941999999999995
363,chama,2018,cultivar10,2019,4.48886
364,chama,2018,cultivar2,2018,3.76254
365,chama,2018,cultivar2,2019,4.0370800000000004
366,chama,2018,cultivar3,2018,7.12824
367,chama,2018,cultivar3,2019,5.54136
368,chama,2018,cultivar4,2018,2.4344
369,chama,2018,cultivar4,2019,2.6383199999999998
370,chama,2018,cultivar5,2018,3.4169600000000004
371,chama,2018,cultivar5,2019,3.55916
372,chama,2018,cultivar6,2018,6.71512
373,chama,2018,cultivar6,2019,5.46248
374,chama,2018,cultivar7,2018,7.10722
375,chama,2018,cultivar7,2019,6.05938
376,chama,2018,cultivar8,2018,6.87592
377,chama,2018,cultivar8,2019,5.28176
378,chama,2018,cultivar9,2018,6.35144
379,chama,2018,cultivar9,2019,5.64612
380,chama,2019,cultivar1,2019,3.67158
381,chama,2019,cultivar1,2020,4.103
382,chama,2019,cultivar10,2019,5.257960000000001
