,Unnamed: 0,district,cultivar,rmse,%rmse,unbiased rmse,bias,correlation,season length
554,554,lundazi,7,5829.491377414461,246371.4126248172,329.68788715207046,5820.161133200244,0.5397401948327581,121.12727272727273
555,555,lusaka,7,5567.673908737987,185334.47083703327,475.56100874835874,5547.326786930798,0.4253581407874204,121.01636363636364
112,112,luwingu,1,3757.920173827928,110019.9822391915,142.70077550642213,3755.209783957855,0.3913491016730044,118.10909090909092
483,483,mafinga,6,7215.831639465517,199200.13502521336,319.3334355476797,7208.875597013901,0.4578999146468215,117.7090909090909
706,706,mambwe,9,5130.928976906026,360140.5282380275,754.5839661862336,5075.138934455743,0.0199820396927559,118.4890909090909
485,485,mansa,6,6874.168504529426,232529.60737648365,469.2617988002912,6858.132835754281,0.0978916524885271,117.56
708,708,masaiti,9,5798.280127922221,259554.6631223044,339.6082988998591,5788.326065899887,0.4977611641566834,118.61272727272728
117,117,mazabuka,1,3751.140154149734,198012.70509395903,156.26761219806255,3747.8837881466393,0.3872611034131408,117.83818181818182
710,710,mbala,9,6978.758436845315,288279.07126853656,224.95420535263264,6975.131893042155,0.4539128668453542,118.68545454545456
637,637,milengi,8,5898.495491346934,215314.09435728175,565.3969042684158,5871.335061302821,-0.0767602964062986,116.15636363636364
712,712,mkushi,9,5718.352692912122,172149.9237446976,216.8356876538514,5714.240089906532,0.4811574699508859,118.83090909090907
491,491,mongu,6,7259.922201934104,1249647.6932068896,401.987181097429,7248.784497029075,0.3420062606728541,118.92181818181818
122,122,monze,1,3751.81343833908,253684.0270723706,157.27291367232328,3748.515613776569,0.5716694484877524,118.18363636363635
123,123,mpika,1,3738.676014832295,111490.75797953075,149.02267607232395,3735.704831206359,0.6140119630535481,117.79272727272728
716,716,mpongwe,9,5695.748420788157,196495.50411213184,547.9439810860418,5669.33042488285,0.5615329338968181,118.90363636363637
495,495,mporokoso,6,6296.158600225504,217081.94741500684,318.3511312935628,6288.105094255158,0.5728779594870174,117.96363636363635
718,718,mpulungu,9,6570.420166551915,253463.7183853255,183.05883284040007,6567.8695654489975,0.43060722893523,118.50181818181818
645,645,mufulira,8,4955.240448032961,150922.90631031495,841.4899182255601,4883.267616601269,-0.1495348869577962,116.13090909090909
498,498,mufumbwe,6,7075.42906112445,298305.9814937012,453.6084404350088,7060.873584888101,0.2264964176215866,118.23272727272727
499,499,mumbwa,6,6541.611278737293,388483.7325684744,407.5811456974848,6528.901571610258,0.4327953582312455,119.19090909090907
648,648,mungwi,8,7130.667844439189,221975.758076403,260.05970375246727,7125.924000310642,0.014924703710486,116.14545454545454
649,649,mwense,8,7109.447686018755,301067.42076330405,234.35409202069133,7105.584040723928,0.0207188940954258,116.00727272727272
576,576,mwinilunga,7,6360.935732323921,188359.4621026758,784.4937016830435,6312.374594617693,-0.1359994383185747,121.18761384335154
133,133,nakonde,1,3950.448600549887,140438.06854034413,220.9918665497053,3944.262509076372,0.2096920773490622,131.46625766871165
134,134,namwala,1,3749.177010097416,334661.8288584737,155.19937927766165,3745.9633481542255,0.23222745882818,118.08727272727272
727,727,nchelenge,9,6198.528789074056,270794.882205529,430.2546327669633,6183.578260195503,0.1897671068276826,118.61090909090908
136,136,ndola,1,3830.8675065091143,140099.0028264914,117.48397918062598,3829.065599733601,0.121400345339073,124.77272727272728
507,507,nyimba,6,6496.96307986988,387652.6814348686,266.54528849922053,6491.493115637664,0.3220919685289635,118.84363636363636
286,286,petauke,3,6026.388676228643,350346.4298691052,534.261055234519,6002.6598772408,0.2883892684800706,111.35272727272728
731,731,samfya,9,6631.561036104484,230676.5020510095,269.125347920211,6626.097895646125,0.2705826313988342,118.51818181818182
658,658,senanga,8,6319.923856485499,1333668.5778470763,344.75819157967175,6310.513397586067,0.7137231002653817,117.58545454545454
585,585,serenje,7,7406.053456217709,262186.96504692594,399.00959737048913,7395.297095963117,0.6515210512137,120.78363636363636
586,586,sesheke,7,6349.0294471605785,1233902.6045259929,328.2186315464948,6340.53999678402,0.6509488749269474,120.79636363636364
513,513,shangombo,6,6381.0810255400265,1337661.6906430705,349.0612994661621,6371.5266038620575,0.6152102286270857,119.45636363636363
588,588,siavonga,7,6601.23213151696,732615.5609536427,261.97665144358655,6596.031677324659,0.3341765329265426,121.33818181818182
737,737,sinazongwe,9,6195.258467262774,675799.180661314,246.8708472908422,6190.337814768191,0.4094702754198339,118.9090909090909
590,590,solwezi,7,6067.031072549249,348915.61226520507,551.9291453307893,6041.873902508435,-0.1932914748147314,120.98363636363636
295,295,zambezi,3,9559.912634787466,516797.8720086308,218.4067838925761,9557.417436814128,0.2796046250277907,110.87454545454544
