,district,cultivar,rmse,%rmse,unbiased rmse,bias,correlation,season length
97,kapirimposhi,1,3729.4275177389836,159579.46205093857,150.03299341559236,3726.408419773054,0.14139538433507048,118.38
98,kaputa,1,3693.179580511883,220910.2332691603,189.48455143646595,3688.315471685801,-0.3405971890533959,117.8709090909091
99,kasama,1,3738.6132533494188,113472.37804989325,137.21521754946994,3736.0943567036393,0.2764822437702362,117.90727272727273
100,kasempa,1,3674.3688249084503,131041.79709144268,181.3911495121488,3669.888760213007,-0.16851521341214395,117.74909090909091
101,katete,1,3533.4663294224492,227299.29152366496,229.75033855901415,3525.989092877937,0.138305002798219,118.15818181818182
102,kawambwa,1,3675.4630854282636,119392.5759888679,184.9819272827367,3670.8051676607156,0.18793296225063158,117.90363636363637
103,kazungula,1,3751.6924950061093,339139.47650098056,149.79030463155658,3748.7010339214244,0.3379679574289709,118.31272727272727
104,kitwe,1,3365.5083550968147,135138.35300587938,386.85521465995663,3343.2004922105507,-0.5009647510622544,118.11090909090909
105,livingstone,1,3742.7007519460462,482432.61871894094,153.54895627072793,3739.549656930052,0.14288237574227963,118.13818181818182
106,luangwa,1,3727.1214215321825,716648.9339509627,156.58230988218673,3723.830832768325,0.299755409460226,118.00181818181818
107,luanshya,1,3282.2416188845323,126764.6152478402,473.85658382801944,3247.856213366071,-0.49176727351415084,118.1509090909091
108,lufwanyama,1,3368.005658502578,157876.7618765751,405.2387690812799,3343.53759598107,0.013987562205277469,118.12727272727273
109,lukulu,1,3722.7897505926426,412854.0260808799,162.73981083557794,3719.231006684961,0.47534987858408967,118.00545454545454
110,lundazi,1,3506.9493394410956,148213.97045191022,356.4217187061857,3488.790224109335,0.27456132198065364,117.96909090909091
111,lusaka,1,3463.7096817716633,115298.56301332284,319.45394115345533,3448.9467869307987,0.014742144234405459,118.19818181818182
112,luwingu,1,3757.920173827928,110019.9822391915,142.70077550642213,3755.2097839578546,0.39134910167300446,118.10909090909091
113,mafinga,1,3725.5496618458224,102847.46551234614,156.9489448942518,3722.299597013902,-0.29638214811100055,117.91454545454546
114,mambwe,1,3335.9152226931287,234148.29475625075,473.13909393191676,3302.19166172847,-0.10694485307036503,117.69272727272727
115,mansa,1,3632.1948993296987,122864.72950139274,191.2822604069406,3627.154653936099,-0.2515399795893259,118.23454545454545
116,masaiti,1,3680.254512693891,164743.19956474807,192.97814967089826,3675.1915204453417,-0.09622061835752888,118.18181818181819
117,mazabuka,1,3751.140154149734,198012.70509395903,156.26761219806255,3747.8837881466393,0.38726110341314085,117.83818181818182
118,mbala,1,3736.8661079682247,154362.74242885478,127.40169632190714,3734.693711223973,0.44438459555081183,118.09818181818181
119,milengi,1,3556.6687555950043,129829.87156016397,234.7772028154413,3548.911424939184,-0.11320209779775837,117.98181818181818
120,mkushi,1,3686.9977719238095,110996.36894910007,171.6866350183165,3682.9982717247126,0.12557113965046038,118.31454545454545
121,mongu,1,3718.844634665104,640123.3360139865,165.6886974229161,3715.1517697563486,-0.07549221033483788,118.30727272727273
122,monze,1,3751.8134383390798,253684.0270723706,157.27291367232328,3748.515613776569,0.5716694484877524,118.18363636363637
123,mpika,1,3738.676014832295,111490.75797953075,149.02267607232395,3735.704831206359,0.6140119630535481,117.79272727272728
124,mpongwe,1,3622.381776568267,124967.20021473273,183.47521005344413,3617.732243064669,0.5521057748713364,117.88909090909091
125,mporokoso,1,3586.95816597201,123672.84774838368,223.81414661485877,3579.968730618795,-0.18111206839403032,118.06
126,mpulungu,1,3772.545734624213,145531.55588805483,158.87985630570682,3769.1986563580886,0.2280257256941979,118.20181818181818
127,mufulira,1,3279.310578079818,99878.72199711933,454.5628636145301,3247.6530711467235,-0.3134105362487556,118.02727272727273
128,mufumbwe,1,3659.996919232865,154308.51808754768,165.7716498623022,3656.2408576153716,-0.6412996047369114,118.08909090909091
129,mumbwa,1,3726.867226286691,221325.79102658643,127.88367322403855,3724.6724807011665,0.04337171196815574,118.17636363636363
130,mungwi,1,3743.8763578606686,116545.85668697696,151.05884827444734,3740.827636674278,-0.1864090420013364,118.14
131,mwense,1,3738.3481326127976,158309.7421779214,138.38633245175805,3735.785858905746,-0.14248112790055195,117.93818181818182
132,mwinilunga,1,3393.6038560744973,100491.0949927528,420.2008706331961,3367.4884350629636,-0.36647784338583744,118.12
133,nakonde,1,3950.448600549887,140438.06854034413,220.99186654970532,3944.2625090763718,0.20969207734906226,131.46625766871165
134,namwala,1,3749.1770100974154,334661.8288584737,155.19937927766165,3745.9633481542264,0.23222745882818008,118.08727272727273
135,nchelenge,1,3663.7584545826994,160058.47079181485,183.43097407297293,3659.163714740958,-0.12743095849393182,118.0490909090909
136,ndola,1,3830.8675065091147,140099.0028264914,117.48397918062598,3829.065599733601,0.12140034533907308,124.77272727272727
137,nyimba,1,3705.971758984582,221123.29592013662,162.4522273565283,3702.4094792740284,-0.2781235380308525,117.75090909090909
138,petauke,1,3673.5249281042043,213561.78845103746,152.1084962348281,3670.3744226953436,0.1475622452723131,118.05818181818182
139,samfya,1,3751.0076501847566,130477.47267956586,151.04796723010335,3747.965168373397,0.25850578520408235,117.8
140,senanga,1,3720.0331753611417,785023.9128176466,143.40803823395171,3717.267943040613,-0.16115025990993184,118.09272727272727
141,serenje,1,3746.0908774699883,132618.02709906874,134.86129979916635,3743.6625505085713,-0.16296174159814691,117.93272727272728
142,sesheke,1,3741.1674495959596,727077.4688387687,159.46700250028312,3737.767269511293,0.04272390693606428,117.88181818181818
143,shangombo,1,3724.2682275539996,780715.8244408199,143.30164920025538,3721.5102402256935,0.36431702161769774,117.76
144,siavonga,1,3726.361354116152,413557.6903480941,159.54278964396764,3722.9444045973855,-0.008510192116915047,117.8490909090909
145,sinazongwe,1,3744.0495377743764,408413.24431476294,162.70901735756877,3740.5123602227354,0.11540598993819207,117.97272727272727
146,solwezi,1,3402.557743434931,195681.46332559868,399.5032006939037,3379.0229934175263,-0.5110580947747168,118.05818181818182
147,zambezi,1,3727.951774774766,201528.78146016962,145.90088105526254,3725.0956186323087,0.08502940082080931,118.21818181818182
148,chadiza,2,2718.6695732302087,124685.98508701171,621.0187749392754,2646.7904959744446,0.12655580158140028,62.79090909090909
149,chama,2,3785.987440501388,182375.96331815995,432.34443262001787,3761.2204390618645,0.6599608800225624,62.63636363636363
150,chavuma,2,3740.22819037832,164078.22422104693,369.9074887556381,3721.8913694334465,0.2694647621657917,62.62909090909091
151,chibombo,2,3795.8599073034984,194576.89050172016,248.81333629272075,3787.6964450120618,-0.6606400486926913,62.68909090909091
152,chiengi,2,3447.2422756050933,155443.65685200645,590.2331745943438,3396.336865849332,-0.1755829281099699,62.56
153,chililabombwe,2,3205.1593377259187,126162.48328034853,812.6154335328388,3100.435862487061,-0.8153758029951199,67.29272727272728
154,chilubi,2,4451.733219869473,169757.44854275777,160.8409398862114,4448.82668272725,-0.1374414663654632,62.6
155,chingola,2,1679.2691264318146,56319.57670611737,606.1497541579738,1566.0546843968434,-0.4603590808469804,62.48909090909091
156,chinsali,2,3975.183598901196,120156.01232442551,250.88104613861722,3967.2589209253097,0.12338391585854637,62.416363636363634
157,chipata,2,2751.4328710317377,129722.16177697733,848.0599440761613,2617.475343732485,0.14370092182347524,62.62
158,choma,2,3560.468601131287,212867.4442501488,583.3864814043736,3512.3491957600695,0.654216571757017,62.485454545454544
159,chongwe,2,1902.7764797562238,85429.76450598286,744.4830231694766,1751.0863371421538,-0.10416099738271635,62.59489051094891
160,gwembe,2,3460.8236269294903,259061.95292848416,451.6513199794901,3431.225912392563,0.42106726283007695,62.39636363636364
161,ikelenge,2,1688.5775117935852,60750.47178514617,656.5062603897709,1557.7282201261162,0.19218970769708252,62.53284671532847
162,isoka,2,3507.476334079638,108932.54814882671,369.7321587123579,3487.93468473001,-0.4813611913272549,62.56909090909091
163,itezhitezhi,2,3767.4353014112303,291041.3712685663,519.7245971020094,3731.414623636281,-0.0523620369882607,62.552727272727275
164,kabompo,2,4507.659202803315,176421.3320064427,148.39670498263246,4505.215855712989,0.605102491689219,62.46727272727273
165,kabwe,2,2286.0812845528712,83086.73595643403,880.69881916052,2109.6296427364146,0.27980170218100714,62.75555555555555
166,kafue,2,3946.5418150680794,165466.4004775253,260.39154205807904,3937.942171097167,0.649857865380124,62.516363636363636
167,kalabo,2,4377.613152116521,885911.5163263658,148.4086959318572,4375.096772478908,0.08046301876893633,62.60545454545454
168,kalomo,2,2529.1896066912304,167006.0935462149,868.5245076880694,2375.3873886463525,0.21016825058377375,62.56181818181818
169,kalulushi,2,1712.8227388373134,59875.203139377176,702.1964675824336,1562.268176592261,-0.1738965935001295,62.53005464480874
170,kaoma,2,3313.6384337774048,211009.7613189599,543.5328825848103,3268.7569006207573,0.02166674260182322,62.67090909090909
171,kapirimposhi,2,3879.2797416630406,165991.5285590539,116.67419647467553,3877.5247834094184,0.14551333290623808,62.72727272727273
172,kaputa,2,3052.473155448508,182585.91062731834,648.9376610420969,2982.6954716858004,-0.24662514840544292,62.46545454545455
173,kasama,2,4297.723929501564,130442.2044846625,147.85588675656862,4295.179811249093,0.17806430557743108,62.36727272727273
174,kasempa,2,2996.592364360117,106869.7420667967,483.7336385641893,2957.290578394826,0.2128600940234632,62.661818181818184
175,katete,2,2053.9414704477467,132125.05724942236,784.2599295696377,1898.318183787028,0.17932557765350635,62.42545454545454
176,kawambwa,2,2640.595776568619,85776.27487533796,403.05174104635995,2609.654258569806,0.25654963754887494,62.60363636363636
177,kazungula,2,3566.1918787507952,322370.88953091914,504.7281206172076,3530.293761194151,-0.2030326493828968,62.42363636363636
178,kitwe,2,1903.4808532221057,76432.21776380396,877.8360981400323,1688.9769517034388,-0.5358646472975744,62.87012987012987
179,livingstone,2,4023.612869823078,518642.07751332497,296.5514298713923,4012.669656930052,0.48149383461021494,62.61454545454546
180,luangwa,2,3434.91876014572,660464.360899367,632.661178106681,3376.152650950143,0.1334896735349275,62.64363636363636
181,luanshya,2,1689.389996621438,65246.52898589686,726.7651471319923,1525.0740905276687,-0.3190924075760095,62.75187969924812
182,lufwanyama,2,1738.9759484839603,81515.27033061942,577.0619585145424,1640.438004144335,-0.11211870007368997,62.52459016393443
183,lukulu,2,3449.736579477143,382572.6756470448,602.7815480681857,3396.6655521395064,0.24610209538899702,62.47090909090909
184,lundazi,2,2253.787104278025,95251.65690919163,824.671718888923,2097.492042291153,-0.060037811248943355,62.81818181818182
185,lusaka,2,2012.0643399928504,66976.78166054182,799.0635954366494,1846.591530013803,0.24155279237362873,62.57326007326007
186,luwingu,2,4354.302754533586,127480.17242470132,121.73612861517371,4352.600693048763,0.13042862477322986,62.64909090909091
187,mafinga,2,3672.515015495842,101383.39189730362,214.14442103884627,3666.9775970139017,-0.2176139916773445,62.43818181818182
188,mambwe,2,1883.61328664105,132211.04542673525,801.9182428026652,1704.3843890011972,-0.019484523595989185,62.550909090909094
189,mansa,2,2028.3349806124925,68611.63446299566,654.0869364732686,1919.9773626559495,-0.38722919735515443,62.434306569343065
190,masaiti,2,2894.507567918277,129569.96214758715,424.44340395314697,2863.2187931726144,0.06137580257552694,62.53636363636364
191,mazabuka,2,4173.200132250761,220292.12802707122,148.92622529198482,4170.541969964822,0.15111428384932887,62.38363636363636
192,mbala,2,4454.1184682120265,183991.05613929708,131.4229993421824,4452.1791657694275,0.16140215081980538,62.732727272727274
193,milengi,2,1943.7607962119039,70953.53316748663,686.6057852204405,1818.4549839333815,-0.3607215793874205,62.6745886654479
194,mkushi,2,2924.7217310352185,88048.1932491236,459.46775160904616,2888.4055444519863,0.26187257316579315,62.77090909090909
195,mongu,2,3953.338240497904,680486.6326788815,169.63219071182448,3949.697224301804,-0.2113690204862088,62.62909090909091
196,monze,2,4095.786456131042,276942.2358804107,172.59388481047392,4092.148341049296,0.4059899977192664,62.72909090909091
197,mpika,2,3969.80777911561,118383.31980913584,244.01443497208805,3962.301194842723,0.4363314190346778,62.88727272727273
198,mpongwe,2,2438.3137358778818,84118.4777344083,711.2703436394798,2332.2667885192136,0.7310222033416586,62.56727272727273
199,mporokoso,2,2083.4647654965647,71834.68800299054,592.1662071193205,1997.5396397097043,-0.05530142467855919,62.57090909090909
200,mpulungu,2,3918.387747406097,151157.62818167734,456.09160834566705,3891.7532018126335,0.4423810572752934,62.594545454545454
201,mufulira,2,1480.7256496841903,45098.80415334404,648.0673202259887,1331.3741765889006,-0.4439194253987469,62.413919413919416
202,mufumbwe,2,2913.1643852631264,122821.43650809287,570.9048756674032,2856.6754030699176,0.10315178624580579,62.90181818181818
203,mumbwa,2,3499.030492879612,207795.3532126056,462.78966105828266,3468.290662519348,-0.13258931188931117,62.38545454545454
204,mungwi,2,4315.6660780217,134345.51575986727,158.14236953505934,4312.767636674278,-0.2221486270812448,62.56181818181818
205,mwense,2,4342.5139529034,183894.66146580738,121.72157449844664,4340.807677087563,-0.2748689609296767,62.35636363636364
206,mwinilunga,2,1749.9095013960357,51818.16422642861,781.5898505694369,1565.6629805175085,-0.5944509461221577,62.47636363636364
207,nakonde,2,4114.070979268451,146254.82839744323,161.8188626746536,4110.88733464462,0.3630209815137213,73.43260188087774
208,namwala,2,4115.66458020647,367375.5151251586,157.9063105131019,4112.634257245136,0.19927888162473825,62.474545454545456
209,nchelenge,2,2562.20430705045,111934.91828854944,620.8711431361054,2485.84189655914,-0.12156353501392056,62.769090909090906
210,ndola,2,3328.5585640949353,121729.01696206677,583.7795583714222,3276.9655997336017,-0.34800385711860643,67.13090909090909
211,nyimba,2,2717.0653492811725,162118.4629394122,666.5901235883431,2634.02766109221,0.2986645152009029,62.63090909090909
212,petauke,2,2790.8521850113707,162247.26811398056,622.6371174573344,2720.510786331707,0.4951364428885997,62.60727272727273
213,samfya,2,3985.256948567974,138625.75156364072,302.6201132796018,3973.750622918851,-0.2703201670091957,62.47090909090909
214,senanga,2,3855.724616858859,813658.3419528286,202.48208852832218,3850.4043066769755,0.07716706207345242,62.5
215,serenje,2,4225.217080177622,149579.91452062235,152.44236729195774,4222.466186872209,0.31718729918120436,62.46181818181818
216,sesheke,2,3858.486127392696,749877.7760822134,151.63413220835966,3855.505451329476,0.4536527097541422,62.730909090909094
217,shangombo,2,3912.796903640761,820236.9630346643,186.83125607067288,3908.3338765893304,0.19846728441762992,62.52363636363636
218,siavonga,2,3734.3468609940464,414443.9349891386,316.912256312562,3720.875313688295,0.2526988263042116,62.57090909090909
219,sinazongwe,2,3827.164868675498,417479.7381213061,225.24943808248722,3820.530542040917,-0.5248282241547151,62.663636363636364
220,solwezi,2,1821.0230830908135,104727.23419211479,730.2327108944493,1668.1982067755964,-0.46492171818845107,62.59744990892532
221,zambezi,2,4453.430463349979,240747.32421954258,145.14077086999828,4451.0647095414,0.14993472246097075,62.57272727272727
222,chadiza,3,5695.661266423371,261219.3635882501,612.463348874912,5662.635950519899,0.19810971251263704,111.12727272727273
223,chama,3,6565.060623032751,316247.55078668584,354.40350545218905,6555.4877117891365,-0.042103008352553754,110.22181818181818
224,chavuma,3,8390.570182257385,368081.7815470251,375.40921415171834,8382.167733069811,-0.2083432513670943,110.56545454545454
225,chibombo,3,6382.091560312084,327147.8824372503,318.6277168082722,6374.132808648425,-0.2577666310573232,111.03636363636363
226,chiengi,3,6470.263682191046,291758.27143740974,458.59238970595504,6453.991411303878,0.33233768120195095,110.22909090909091
227,chililabombwe,3,6444.851792383395,253684.26989897888,421.96689458471394,6431.023135214334,-0.278342456473767,117.27090909090909
228,chilubi,3,8769.162597920575,334393.5035988579,316.4163499245719,8763.452137272705,0.38014448567962544,110.10545454545455
229,chingola,3,5679.242784308744,190471.28574511266,864.2605254563753,5613.096502578662,-0.46152424232682177,110.33272727272727
230,chinsali,3,7292.6209223511205,220430.63612598786,347.8380182313017,7284.320739107128,0.22369830890886913,110.08363636363636
231,chipata,3,5771.150904870541,272093.1988575962,303.8897698967366,5763.144434641575,0.31576405728293955,110.76181818181819
232,choma,3,5998.439779672075,358624.8576891011,303.2919684010183,5990.767377578251,-0.46697913042431016,112.0490909090909
233,chongwe,3,5114.916830233804,229646.5953428984,845.9399036978234,5044.478155323973,-0.14111929755155014,111.74727272727273
234,gwembe,3,6069.083137606127,454304.72615806846,326.01545879734414,6060.320457847108,-0.07297123566055903,112.13818181818182
235,ikelenge,3,5098.185286184813,183418.9779389163,901.7763373100202,5019.360470126116,-0.006230781229132422,110.18
236,isoka,3,6738.728084233472,209286.322010276,393.6564377265114,6727.220139275465,0.12391841022718042,110.31090909090909
237,itezhitezhi,3,6641.629667645857,513078.22199509863,520.185553171272,6621.227350909006,-0.2809784182454575,111.74909090909091
238,kabompo,3,10037.894144060161,392864.36169208225,294.90045887073813,10033.561310258443,0.17583437172402522,110.81636363636363
239,kabwe,3,5378.0415693647155,195462.8310269944,518.4440284069052,5352.994200559543,0.24978735743831645,111.05656934306569
240,kafue,3,6477.8865968005875,271597.92752777645,365.8127289951726,6467.549443824439,-0.4335336464900592,112.18727272727273
241,kalabo,3,8274.636806527164,1674564.605320638,400.91765948233984,8264.918590660725,-0.27766126144534947,111.36
242,kalomo,3,5757.870466542042,380200.6188932211,532.2603761609084,5733.216479555443,0.39045801188955326,112.20363636363636
243,kalulushi,3,5263.718555437489,184003.9898053126,645.5437208921322,5223.983761007846,0.12235011674604844,110.27554744525547
244,kaoma,3,7622.9137157883615,485420.8556151665,342.6711736647478,7615.207809711666,0.3064595272224174,111.43454545454546
245,kapirimposhi,3,6202.5354716738875,265401.93346394936,335.790942483421,6193.439328863964,-0.10242895886396204,110.96181818181819
246,kaputa,3,6356.177848357487,380199.4191103765,452.35416614207617,6340.0609262312555,-0.33806603907823424,110.1
247,kasama,3,7236.464471100801,219637.27632798435,330.6761250408761,7228.9052657945485,0.26637109979060697,109.97454545454545
248,kasempa,3,6276.125840031661,223830.22718746282,346.06010422910776,6266.577851122099,0.09775706604432245,110.69636363636364
249,katete,3,5315.255763048603,341917.47043065756,492.8569022134132,5292.356365605209,-0.34751489623690857,111.19636363636364
250,kawambwa,3,6421.2553498192,208586.02017706938,428.1016372784235,6406.968804024352,-0.04368859782051042,110.34
251,kazungula,3,6484.511375652778,586176.4513565111,321.6291702148838,6476.530124830515,-0.21145670574128544,112.32
252,kitwe,3,5065.422780748735,203396.58073710353,788.8471916984861,5003.621494065838,-0.37682453182715286,110.1584699453552
253,livingstone,3,6541.39828722716,843183.6032174679,323.33394228237626,6533.402384202779,0.11468328040465318,112.46727272727273
254,luangwa,3,6436.2338950276435,1237555.6462645244,278.58986071497714,6430.201741859233,-0.2506473762118899,111.50181818181818
255,luanshya,3,5005.689716228768,193326.51419594747,881.6687162054661,4927.432374982232,-0.0686425780576045,110.36330275229358
256,lufwanyama,3,5440.464842617838,255024.20706672265,756.8172079157346,5387.567671738646,0.22490566675601983,110.48357664233576
257,lukulu,3,8642.717035929581,958469.525170823,324.2394355735847,8636.63282486678,0.3261554633687021,111.21090909090908
258,lundazi,3,5402.726712476879,228335.08551635128,552.2279383472965,5374.4302241093355,0.3010291382194297,110.35090909090908
259,lusaka,3,5278.494714641455,175708.39111443175,553.0398371376795,5249.443150567164,0.09185589068793694,111.84
260,luwingu,3,7112.584202416148,208233.9037094219,266.15893524074556,7107.602511230581,0.0070550481521157015,110.03272727272727
261,mafinga,3,7020.386381170639,193804.67629119265,381.5919242412772,7010.325597013902,0.1174469070282848,110.24545454545455
262,mambwe,3,5142.172581593601,360929.71821701725,818.0440163528624,5076.6862071830155,-0.12390143580335483,110.22727272727273
